self_driving,safety_concern,carshare_level,rideshare_level,pevowner,income,householdvehicles,housing,parkingtype
No,Disagree,Not participating,Interested in participating,No,Low income,Three plus,Single family,Personal parking
Yes,Disagree,Interested in participating,Interested in participating,No,Low income,Three plus,Single family,Personal parking
No,Neutral,Currently participating,Currently participating,No,Low income,Three plus,Single family,Personal parking
No,Agree,Not participating,Not participating,No,Low income,Three plus,Apartment,Shared parking
Neutral,Neutral,Currently participating,Currently participating,No,Low income,Three plus,Single family,Personal parking
Neutral,Disagree,Not participating,Not participating,No,Low income,Three plus,Apartment,Shared parking
No,Disagree,Not participating,Interested in participating,No,Low income,Three plus,Apartment,Personal parking
Neutral,Disagree,Currently participating,Currently participating,No,Middle income,Three plus,Apartment,Shared parking
No,Disagree,Not participating,Not participating,No,Middle income,Three plus,Apartment,Shared parking
Neutral,Disagree,Not participating,Not participating,No,Middle income,Three plus,Apartment,Shared parking
No,Disagree,Not participating,Not participating,No,Middle income,Three plus,Apartment,Shared parking
No,Disagree,Not participating,Currently participating,No,Middle income,Three plus,Single family,Personal parking
Neutral,Disagree,Currently participating,Not participating,No,High income,Three plus,Single family,Personal parking
Yes,Disagree,Not participating,Interested in participating,No,High income,Three plus,Apartment,Personal parking
Neutral,Disagree,Currently participating,Not participating,No,Low income,One Vehicle,Apartment,Shared parking
Yes,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Single family,Personal parking
No,Disagree,Currently participating,Interested in participating,No,Low income,One Vehicle,Single family,Personal parking
Neutral,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Single family,Shared parking
Neutral,Disagree,Currently participating,Interested in participating,No,Low income,One Vehicle,Single family,Shared parking
Neutral,Disagree,Not participating,Not participating,No,Low income,One Vehicle,Single family,Personal parking
No,Disagree,Interested in participating,Interested in participating,No,Low income,One Vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Single family,Personal parking
Neutral,Disagree,Not participating,Interested in participating,No,Low income,One Vehicle,Single family,Personal parking
Neutral,Neutral,Currently participating,Currently participating,No,Low income,One Vehicle,Single family,Personal parking
Neutral,Disagree,Not participating,Currently participating,No,Low income,One Vehicle,Apartment,Shared parking
Yes,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Others,Shared parking
Yes,Disagree,Not participating,Currently participating,No,Low income,One Vehicle,Apartment,Shared parking
Yes,Agree,Not participating,Not participating,No,Low income,One Vehicle,Single family,Shared parking
No,Disagree,Not participating,Not participating,No,Low income,One Vehicle,Single family,Personal parking
Neutral,Neutral,Currently participating,Currently participating,No,Low income,One Vehicle,Single family,Personal parking
Neutral,Disagree,Not participating,Currently participating,No,Low income,One Vehicle,Single family,Personal parking
No,Disagree,Currently participating,Not participating,No,Low income,One Vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Single family,Personal parking
Neutral,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Single family,Personal parking
Neutral,Disagree,Currently participating,Interested in participating,No,Low income,One Vehicle,Mobile based home,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Single family,Personal parking
Neutral,Neutral,Not participating,Not participating,No,Low income,One Vehicle,Apartment,Shared parking
No,Disagree,Currently participating,Interested in participating,No,Low income,One Vehicle,Apartment,Shared parking
Yes,Disagree,Not participating,Not participating,No,Low income,One Vehicle,Single family,Personal parking
No,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Single family,Personal parking
Neutral,Disagree,Interested in participating,Interested in participating,Yes,Low income,One Vehicle,Single family,Personal parking
Yes,Disagree,Interested in participating,Interested in participating,No,Low income,One Vehicle,Single family,Personal parking
No,Disagree,Not participating,Not participating,No,Low income,One Vehicle,Apartment,Personal parking
No,Disagree,Not participating,Interested in participating,No,Low income,One Vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Interested in participating,No,Low income,One Vehicle,Apartment,Shared parking
Yes,Disagree,Currently participating,Interested in participating,No,Low income,One Vehicle,Apartment,Shared parking
Neutral,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Apartment,Personal parking
Yes,Disagree,Not participating,Not participating,No,Low income,One Vehicle,Single family,Personal parking
Neutral,Neutral,Not participating,Currently participating,No,Low income,One Vehicle,Apartment,Shared parking
No,Disagree,Currently participating,Not participating,No,Low income,One Vehicle,Apartment,Personal parking
No,Disagree,Currently participating,Not participating,No,Low income,One Vehicle,Apartment,Shared parking
Yes,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Mobile based home,Personal parking
Neutral,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Others,Shared parking
Yes,Neutral,Currently participating,Currently participating,No,Low income,One Vehicle,Single family,Personal parking
Yes,Agree,Currently participating,Currently participating,No,Low income,One Vehicle,Single family,Shared parking
Neutral,Disagree,Not participating,Not participating,No,Low income,One Vehicle,Single family,Personal parking
No,Disagree,Not participating,Interested in participating,No,Low income,One Vehicle,Single family,Personal parking
Yes,Agree,Not participating,Not participating,No,Low income,One Vehicle,Single family,Personal parking
Neutral,Disagree,Currently participating,Not participating,No,Low income,One Vehicle,Single family,Personal parking
Neutral,Disagree,Not participating,Not participating,No,Low income,One Vehicle,Single family,Personal parking
No,Disagree,Not participating,Not participating,No,Low income,One Vehicle,Mobile based home,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Mobile based home,Personal parking
Yes,Disagree,Interested in participating,Not participating,No,Low income,One Vehicle,Apartment,Shared parking
Yes,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Single family,Personal parking
Yes,Agree,Not participating,Interested in participating,No,Low income,One Vehicle,Apartment,Shared parking
Yes,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Apartment,Shared parking
Yes,Disagree,Not participating,Not participating,No,Low income,One Vehicle,Single family,Personal parking
Yes,Disagree,Interested in participating,Interested in participating,No,Low income,One Vehicle,Apartment,Shared parking
Neutral,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Apartment,Shared parking
Yes,Disagree,Not participating,Interested in participating,No,Low income,One Vehicle,Single family,Shared parking
Yes,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Apartment,Shared parking
No,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Apartment,Shared parking
Yes,Disagree,Currently participating,Not participating,No,Low income,One Vehicle,Apartment,Shared parking
Neutral,Disagree,Not participating,Currently participating,No,Low income,One Vehicle,Single family,Shared parking
No,Disagree,Not participating,Not participating,No,Low income,One Vehicle,Single family,Shared parking
Yes,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Apartment,Shared parking
Yes,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Single family,Shared parking
Neutral,Disagree,Not participating,Currently participating,No,Low income,One Vehicle,Apartment,Shared parking
Yes,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Mobile based home,Personal parking
Yes,Disagree,Interested in participating,Interested in participating,No,Low income,One Vehicle,Single family,Personal parking
Yes,Neutral,Currently participating,Currently participating,No,Low income,One Vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Single family,Personal parking
No,Disagree,Not participating,Interested in participating,No,Low income,One Vehicle,Mobile based home,Personal parking
No,Disagree,Interested in participating,Interested in participating,No,Low income,One Vehicle,Single family,Personal parking
No,Disagree,Not participating,Not participating,No,Low income,One Vehicle,Single family,Personal parking
Neutral,Disagree,Not participating,Not participating,No,Low income,One Vehicle,Single family,Shared parking
Neutral,Agree,Not participating,Not participating,No,Low income,One Vehicle,Single family,Personal parking
Neutral,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Apartment,Shared parking
Neutral,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Single family,Personal parking
Neutral,Disagree,Interested in participating,Interested in participating,No,Low income,One Vehicle,Single family,Personal parking
Neutral,Disagree,Not participating,Not participating,No,Low income,One Vehicle,Mobile based home,Personal parking
No,Disagree,Not participating,Interested in participating,No,Low income,One Vehicle,Single family,Personal parking
Neutral,Agree,Currently participating,Currently participating,No,Low income,One Vehicle,Apartment,Shared parking
Yes,Disagree,Currently participating,Interested in participating,No,Low income,One Vehicle,Mobile based home,Personal parking
Yes,Disagree,Not participating,Currently participating,No,Low income,One Vehicle,Apartment,Personal parking
Neutral,Disagree,Currently participating,Interested in participating,No,Low income,One Vehicle,Single family,Personal parking
No,Neutral,Currently participating,Currently participating,No,Low income,One Vehicle,Mobile based home,Personal parking
No,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Not participating,No,Low income,One Vehicle,Single family,Personal parking
Neutral,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Single family,Shared parking
Yes,Agree,Not participating,Not participating,No,Low income,One Vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Apartment,Shared parking
Yes,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Mobile based home,Personal parking
Yes,Neutral,Currently participating,Currently participating,No,Low income,One Vehicle,Others,Shared parking
Yes,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Single family,Personal parking
Neutral,Neutral,Interested in participating,Interested in participating,No,Low income,One Vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Not participating,No,Low income,One Vehicle,Single family,Personal parking
Yes,Disagree,Not participating,Interested in participating,No,Low income,One Vehicle,Apartment,Shared parking
Yes,Disagree,Not participating,Interested in participating,No,Low income,One Vehicle,Apartment,Shared parking
Yes,Disagree,Currently participating,Not participating,No,Low income,One Vehicle,Single family,Personal parking
No,Disagree,Not participating,Not participating,No,Low income,One Vehicle,Single family,Shared parking
Yes,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Apartment,Personal parking
No,Neutral,Not participating,Not participating,No,Low income,One Vehicle,Single family,Personal parking
No,Disagree,Not participating,Not participating,No,Low income,One Vehicle,Single family,Personal parking
No,Disagree,Not participating,Currently participating,No,Low income,One Vehicle,Apartment,Shared parking
Yes,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Single family,Personal parking
Yes,Agree,Currently participating,Currently participating,No,Low income,One Vehicle,Single family,Personal parking
No,Agree,Interested in participating,Not participating,No,Low income,One Vehicle,Apartment,Shared parking
Yes,Disagree,Not participating,Currently participating,No,Low income,One Vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Not participating,No,Low income,One Vehicle,Single family,Personal parking
No,Disagree,Not participating,Currently participating,No,Low income,One Vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Apartment,Shared parking
No,Disagree,Not participating,Currently participating,No,Low income,One Vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Apartment,Shared parking
No,Disagree,Interested in participating,Not participating,No,Low income,One Vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Single family,Personal parking
Yes,Neutral,Not participating,Interested in participating,No,Low income,One Vehicle,Mobile based home,Personal parking
Neutral,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Single family,Personal parking
Yes,Disagree,Not participating,Currently participating,No,Low income,One Vehicle,Single family,Personal parking
Yes,Agree,Not participating,Not participating,No,Low income,One Vehicle,Apartment,Shared parking
Yes,Disagree,Not participating,Currently participating,No,Low income,One Vehicle,Single family,Shared parking
Yes,Disagree,Interested in participating,Interested in participating,No,Low income,One Vehicle,Apartment,Personal parking
No,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Single family,Personal parking
No,Disagree,Not participating,Interested in participating,No,Low income,One Vehicle,Single family,Personal parking
Yes,Agree,Currently participating,Not participating,No,Low income,One Vehicle,Single family,Personal parking
No,Agree,Currently participating,Not participating,No,Low income,One Vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Single family,Personal parking
No,Disagree,Interested in participating,Interested in participating,No,Low income,One Vehicle,Single family,Personal parking
No,Disagree,Interested in participating,Interested in participating,No,Low income,One Vehicle,Apartment,Shared parking
Neutral,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Single family,Personal parking
Yes,Disagree,Not participating,Not participating,No,Low income,One Vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Not participating,No,Low income,One Vehicle,Apartment,Shared parking
No,Agree,Not participating,Interested in participating,No,Low income,One Vehicle,Single family,Personal parking
No,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Single family,Personal parking
No,Disagree,Not participating,Not participating,No,Low income,One Vehicle,Single family,Shared parking
Yes,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Single family,Personal parking
No,Disagree,Not participating,Interested in participating,No,Low income,One Vehicle,Mobile based home,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Apartment,Shared parking
Yes,Disagree,Currently participating,Currently participating,No,Low income,One Vehicle,Apartment,Shared parking
